,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1546568115,100,-23.12,-134.97,76.06,22.08
1,husavik,44,CA,1546568116,87,50.56,-96.99,26.6,8.43
2,kapaa,75,US,1546563360,62,22.08,-159.32,82.04,21.92
3,port alfred,12,ZA,1546568117,89,-33.59,26.89,68.41,13.02
4,hervey bay,24,AU,1546567200,42,-25.3,152.85,86.0,17.22
5,norman wells,75,CA,1546563600,85,65.28,-126.83,15.8,6.93
6,kaitangata,92,NZ,1546568119,83,-46.28,169.85,56.21,16.82
7,alofi,92,NU,1546568120,100,-19.06,-169.92,76.69,15.48
8,vaini,0,IN,1546563600,62,15.34,74.49,53.6,5.97
9,tuatapere,32,NZ,1546568121,84,-46.13,167.69,60.53,16.26
10,castro,75,CL,1546563600,87,-42.48,-73.76,53.6,6.93
11,campbell river,90,CA,1546565400,100,50.02,-125.24,48.2,5.82
12,avarua,90,CK,1546563600,88,-21.21,-159.78,80.6,5.82
13,pacific grove,1,US,1546567200,58,36.62,-121.92,57.02,5.82
14,ostrovnoy,24,RU,1546568124,80,68.05,39.51,6.17,13.8
15,cape town,0,ZA,1546567200,88,-33.93,18.42,64.4,10.29
16,mataura,76,NZ,1546568125,71,-46.19,168.86,61.88,20.51
17,anito,76,PH,1546568126,97,12.45,125.29,81.64,28.79
18,hermanus,0,ZA,1546568127,92,-34.42,19.24,52.16,3.85
19,busselton,92,AU,1546567931,100,-33.64,115.35,66.25,12.24
20,port elizabeth,1,US,1546566840,61,39.31,-74.98,39.92,5.82
21,pavino,90,RU,1546565400,76,55.02,82.61,-11.21,2.24
22,ushtobe,48,KZ,1546568132,66,45.25,77.98,17.15,3.18
23,isla vista,1,US,1546566960,60,34.41,-119.86,57.92,3.36
24,yanam,20,IN,1546565400,88,16.73,82.22,68.0,6.93
25,varhaug,75,NO,1546564800,93,58.61,5.65,39.2,8.05
26,punta arenas,75,CL,1546563600,66,-53.16,-70.91,51.8,20.8
27,palmas de monte alto,0,BR,1546568138,52,-14.26,-43.16,73.31,10.89
28,swan hill,0,AU,1546567862,54,-35.34,143.56,96.12,13.58
29,high level,0,CA,1546568141,86,58.52,-117.13,19.22,4.63
30,sokoto,0,NG,1546568023,44,13.06,5.24,58.91,10.45
31,hilo,90,US,1546563180,57,19.71,-155.08,77.0,10.29
32,saldanha,0,PT,1546568144,74,41.42,-6.55,19.13,2.62
33,kostalexis,90,GR,1546566600,91,38.86,22.36,33.8,6.93
34,sao gabriel da cachoeira,80,BR,1546568146,98,-0.13,-67.09,73.9,2.17
35,lata,20,IN,1546568147,66,30.78,78.62,21.83,1.83
36,jamestown,0,AU,1546568148,35,-33.21,138.6,92.48,13.91
37,paro,0,BT,1546568148,51,27.43,89.41,15.17,2.62
38,sanand,40,IN,1546565400,54,22.99,72.38,55.4,3.36
39,puerto ayora,8,EC,1546568150,100,-0.74,-90.35,76.37,8.99
40,vardo,1,US,1546567200,73,39.62,-77.74,37.94,3.62
41,ushuaia,8,AR,1546568151,100,-54.81,-68.31,36.68,2.62
42,north bend,1,US,1546563360,71,43.41,-124.22,51.98,19.46
43,huarmey,0,PE,1546568167,92,-10.07,-78.15,60.53,3.4
44,cairns,0,AU,1546565400,58,-16.92,145.77,87.8,9.17
45,chokurdakh,56,RU,1546568169,69,70.62,147.9,-9.81,6.08
46,ilulissat,48,GL,1546566600,66,69.22,-51.1,15.8,6.93
47,ahipara,0,NZ,1546568170,71,-35.17,173.16,72.23,16.82
48,hafizabad,64,PK,1546568171,86,32.07,73.69,46.62,2.73
49,kieta,80,PG,1546568171,78,-6.22,155.63,86.95,10.67
50,saint-augustin,0,FR,1546565400,91,44.83,-0.61,32.0,5.82
51,nikolskoye,90,RU,1546565400,92,59.7,30.79,19.4,6.71
52,east london,20,ZA,1546568174,99,-33.02,27.91,70.16,18.5
53,aklavik,90,CA,1546563600,84,68.22,-135.01,6.8,3.36
54,port lincoln,12,AU,1546568175,80,-34.72,135.86,69.26,16.26
55,williams lake,75,CA,1546563600,78,52.13,-122.14,33.8,4.7
56,nakamura,20,JP,1546565400,84,35.17,136.87,44.6,5.82
57,provideniya,64,RU,1546568179,100,64.42,-173.23,12.92,20.29
58,bridlington,0,GB,1546566600,74,54.08,-0.19,35.6,4.7
59,lungi,0,SL,1546568180,87,9.22,-12.68,70.83,7.65
60,mar del plata,100,AR,1546568023,37,-46.43,-67.52,70.61,10.67
61,bethel,1,US,1546566060,91,60.79,-161.76,19.04,11.41
